open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1654110000000,0.00009698,0.00010050,0.00009677,0.00009795,56090115024.31000000,1654113599999,5516384.52700627,26488,26598917440.80000000,2616178.05825376,0
1654113600000,0.00009792,0.00009838,0.00009280,0.00009544,72312666660.56000000,1654117199999,6884353.64977984,31821,33714754883.72000000,3211203.92053795,0
1654117200000,0.00009544,0.00009685,0.00009411,0.00009593,29960933270.51000000,1654120799999,2862979.61043653,15464,15403037971.98000000,1472362.25509070,0
1654120800000,0.00009595,0.00010150,0.00009480,0.00009894,51137083341.12000000,1654124399999,5028373.93232169,25038,26665106354.44000000,2622845.31120873,0
1654124400000,0.00009895,0.00010191,0.00009711,0.00009845,45911557145.71000000,1654127999999,4569822.31458754,19667,22452494456.01000000,2237138.50105810,0
1654128000000,0.00009854,0.00009869,0.00009600,0.00009704,33207821900.96000000,1654131599999,3225740.48568309,15884,16003371465.06000000,1555089.59964417,0
1654131600000,0.00009707,0.00010000,0.00009692,0.00009766,28039883875.39000000,1654135199999,2747761.32838254,12645,13977492936.77000000,1370136.94143691,0
1654135200000,0.00009765,0.00009942,0.00009701,0.00009801,22266093432.60000000,1654138799999,2186998.13106525,9674,10770979948.45000000,1058495.43246042,0
1654138800000,0.00009804,0.00009842,0.00009436,0.00009486,27720951943.63000000,1654142399999,2660270.32870689,13714,11865570216.53000000,1139207.60472166,0
1654142400000,0.00009494,0.00009570,0.00009300,0.00009396,27580932518.24000000,1654145999999,2597260.55777114,12689,13322553836.88000000,1254695.36518555,0
1654146000000,0.00009397,0.00009650,0.00009325,0.00009519,27283402541.93000000,1654149599999,2585949.85224837,12939,14520410418.74000000,1376597.84316056,0
1654149600000,0.00009520,0.00009888,0.00009458,0.00009842,36091550263.73000000,1654153199999,3489199.41719395,17210,19709976805.01000000,1908040.68810529,0
1654153200000,0.00009842,0.00009990,0.00009600,0.00009640,41024557045.75000000,1654156799999,4021024.54172845,19399,20367352330.95000000,1999235.72275669,0
1654156800000,0.00009640,0.00009735,0.00009603,0.00009639,21842623669.52000000,1654160399999,2111770.16406529,11643,12202198404.93000000,1179897.58541273,0
1654160400000,0.00009642,0.00009671,0.00009535,0.00009664,24638633776.09000000,1654163999999,2365147.49464612,11884,12019168227.45000000,1153987.13569297,0
1654164000000,0.00009663,0.00009860,0.00009600,0.00009761,33261743109.54000000,1654167599999,3235019.42466429,15377,17029831088.22000000,1657030.92485899,0
1654167600000,0.00009761,0.00010234,0.00009703,0.00010026,57816334892.58000000,1654171199999,5752008.03207958,23957,32138584284.50000000,3199574.34042323,0
1654171200000,0.00010025,0.00010181,0.00009825,0.00009841,46343068789.54000000,1654174799999,4628449.41437315,19585,22420602577.40000000,2240434.18589851,0
1654174800000,0.00009845,0.00009898,0.00009501,0.00009736,56586021794.20000000,1654178399999,5487800.65632362,24125,25460818461.75000000,2470346.81387868,0
1654178400000,0.00009730,0.00009798,0.00009611,0.00009738,26396847303.75000000,1654181999999,2563182.57806179,13177,13055922620.90000000,1268130.52274794,0
1654182000000,0.00009742,0.00010500,0.00009732,0.00010165,86981528256.93000000,1654185599999,8768684.79406814,39141,47767363258.19000000,4821342.98448002,0
1654185600000,0.00010160,0.00010540,0.00010071,0.00010191,114804779291.25000000,1654189199999,11794434.65217104,42242,60159318557.63000000,6186154.78537457,0
1654189200000,0.00010198,0.00010289,0.00010000,0.00010075,54740523193.43000000,1654192799999,5537745.25408120,21168,25015240339.15000000,2533784.16841712,0
1654192800000,0.00010074,0.00010130,0.00009822,0.00009859,40604380882.26000000,1654196399999,4064847.84430726,17396,16076962808.42000000,1611508.18150197,0
1654196400000,0.00009861,0.00010175,0.00009859,0.00010123,32956359779.79000000,1654199999999,3295437.80437360,15026,17881938245.04000000,1788964.70212694,0
1654200000000,0.00010128,0.00010137,0.00009961,0.00010045,23556173561.28000000,1654203599999,2372063.62076372,12100,12141068404.64000000,1222749.53576677,0
