open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1609516800000,737.01000000,739.18000000,734.53000000,737.34000000,6618.79172000,1609520399999,4879621.42109910,9421,3069.42263000,2262978.60131590,0
1609520400000,737.37000000,738.15000000,728.53000000,729.60000000,12770.33303000,1609523999999,9358105.02004210,14922,5777.61560000,4233339.60462570,0
1609524000000,729.70000000,733.60000000,717.00000000,726.15000000,22770.61324000,1609527599999,16518276.93679790,23751,10945.60570000,7945234.16780470,0
1609527600000,726.14000000,729.84000000,722.64000000,726.97000000,10511.94805000,1609531199999,7630423.04074310,13600,5513.27159000,4002183.08854360,0
1609531200000,726.97000000,732.46000000,724.17000000,731.34000000,9514.77894000,1609534799999,6935569.72656110,11711,5148.87643000,3753633.36043440,0
1609534800000,731.34000000,732.46000000,728.53000000,730.08000000,6231.26995000,1609538399999,4552597.77952360,8499,3257.00185000,2379606.81816650,0
1609538400000,730.13000000,733.82000000,727.93000000,730.85000000,5942.58382000,1609541999999,4342739.57170590,6751,3387.00226000,2475001.16572030,0
1609542000000,730.91000000,732.44000000,729.65000000,730.92000000,5273.59647000,1609545599999,3854488.45714930,6236,2824.93253000,2064699.46781030,0
1609545600000,730.86000000,731.97000000,718.21000000,721.76000000,16424.90934000,1609549199999,11890281.70613460,18903,8046.97935000,5822808.41247120,0
1609549200000,721.80000000,733.82000000,717.00000000,731.34000000,18689.37777000,1609552799999,13578541.45976790,17949,10212.65039000,7421654.63912200,0
1609552800000,731.35000000,736.39000000,731.27000000,731.55000000,10720.54621000,1609556399999,7866479.03021040,10600,5567.68822000,4085421.14780410,0
1609556400000,731.62000000,734.00000000,730.49000000,732.18000000,6077.86146000,1609559999999,4451414.90137870,6861,2899.20672000,2123601.19918520,0
1609560000000,732.24000000,732.47000000,728.13000000,731.41000000,6266.61885000,1609563599999,4576630.63941660,6814,3053.47529000,2229671.63505030,0
1609563600000,731.37000000,735.30000000,731.15000000,734.07000000,6694.04409000,1609567199999,4910641.04012780,8382,3618.36344000,2654334.40900250,0
1609567200000,734.07000000,742.43000000,732.56000000,739.11000000,14713.81436000,1609570799999,10851279.16782440,14248,8370.96269000,6172714.47462620,0
1609570800000,739.11000000,740.66000000,734.01000000,736.99000000,11529.23702000,1609574399999,8495454.86494570,11074,5661.88684000,4171293.26962810,0
1609574400000,737.00000000,740.34000000,730.24000000,735.46000000,10366.29593000,1609577999999,7616160.57155020,12573,4813.02713000,3536038.11427580,0
1609578000000,735.46000000,736.20000000,725.08000000,726.83000000,13271.45775000,1609581599999,9707632.45336160,14721,5975.95829000,4370586.41802940,0
1609581600000,726.79000000,735.30000000,724.77000000,730.08000000,12019.40516000,1609585199999,8779355.99213610,14466,5854.97515000,4276694.56111090,0
1609585200000,730.08000000,732.61000000,728.98000000,731.20000000,5927.01720000,1609588799999,4332174.15012500,7233,3248.32008000,2374331.73571270,0
1609588800000,731.16000000,757.74000000,729.95000000,753.52000000,43191.36562000,1609592399999,32219200.32810850,37731,23133.76688000,17259340.19596590,0
1609592400000,753.53000000,774.16000000,750.51000000,772.16000000,50121.16980000,1609595999999,38291084.83952520,44752,25111.20688000,19189234.96763360,0
